"","station","name","longitude","latitude","avg_stop_times","prov","count","groups","k","maxcount","maj_groups","major_hub","non_hub"
"322","008812112","Mollem",4.216965,50.933473,36.138728323699,"Vlaams Brabant",33,"8","k = 11",334,"3","0","0"
"323","008841459","Momalle",5.367602,50.66991,30.346820809249,"Liège",4,"6","k = 11",119,"2","0","1"
"324","008881000","Mons",3.942542,50.453854,146.69653179191,"Hainaut",63,"7","k = 11",63,"1","0","0"
"325","008861549","Mont-Saint-Guibert",4.613884,50.637611,31.508670520231,"Brabant Wallon",6,"4","k = 11",114,"2","0","1"
"326","008893062","Moortsele",3.781339,50.953519,26.708092485549,"Oost-Vlaanderen",10,"2","k = 11",343,"2","0","1"
"327","008882230","Morlanwelz",4.247367,50.457998,26.023121387283,"Hainaut",3,"10","k = 11",97,"2","0","1"
"328","008821147","Mortsel",4.448437,51.18296,67.687861271676,"Antwerpen",59,"8","k = 11",334,"1","0","0"
"329","008821154","Mortsel-Deurnesteenweg",4.446514,51.183023,6.8294797687861,"Antwerpen",0,"8","k = 11",334,"2","0","1"
"330","008821246","Mortsel-Liersesteenweg",4.468843,51.169027,25.106936416185,"Antwerpen",34,"8","k = 11",334,"3","0","0"
"331","008821238","Mortsel-Oude God",4.455737,51.171256,64.893063583815,"Antwerpen",40,"8","k = 11",334,"3","0","0"
"332","008861150","Moustier",4.693807,50.452748,16.42774566474,"Namur",7,"4","k = 11",114,"2","0","1"
"333","008822426","Muizen",4.513843,51.008201,32.615606936416,"Antwerpen",19,"3","k = 11",300,"4","0","0"
"334","008895232","Munkzwalm",3.733238,50.875673,28.589595375723,"Oost-Vlaanderen",13,"2","k = 11",343,"4","0","0"
"335","008863453","Namêche",4.997939,50.47043,24.320809248555,"Namur",1,"4","k = 11",114,"2","0","1"
"336","008863008","Namur",4.86222,50.468794,202.18786127168,"Namur",71,"4","k = 11",114,"1","0","0"
"337","008864964","Naninne",4.929756,50.419695,27.205202312139,"Namur",0,"4","k = 11",114,"2","0","1"
"338","008832615","Neerpelt",5.43717,51.222369,18.543352601156,"Limburg",16,"5","k = 11",132,"4","0","0"
"339","008833670","Neerwinden",5.036323,50.763964,18.138728323699,"Vlaams Brabant",37,"3","k = 11",300,"3","0","0"
"340","008844230","Nessonvaux",5.741581,50.572089,33.014450867052,"Liège",3,"6","k = 11",119,"2","0","1"
"341","008883121","Neufvilles",4.010672,50.543602,18.57225433526,"Hainaut",0,"10","k = 11",97,"2","0","1"
"342","008824240","Niel",4.338589,51.111595,15.450867052023,"Antwerpen",5,"8","k = 11",334,"2","0","1"
"343","008894714","Nieuwkerken-Waas",4.185907,51.185612,30.433526011561,"Oost-Vlaanderen",9,"8","k = 11",334,"2","0","1"
"344","008821667","Nijlen",4.666588,51.15984,29.56936416185,"Antwerpen",10,"3","k = 11",300,"2","0","1"
"345","008881315","Nimy",3.956089,50.471644,25.85838150289,"Hainaut",1,"7","k = 11",63,"2","0","1"
"346","008895760","Ninove",4.026133,50.839509,29.245664739884,"Oost-Vlaanderen",18,"1","k = 11",152,"4","0","0"
"347","008814209","Nivelles",4.335065,50.599641,96.329479768786,"Brabant Wallon",86,"9","k = 11",660,"1","0","0"
"348","008821105","Noorderkempen",4.632204,51.356838,26.297687861272,"Antwerpen",0,"8","k = 11",334,"2","0","1"
"349","008811247","Nossegem",4.506112,50.883314,49.153179190751,"Vlaams Brabant",29,"9","k = 11",660,"4","0","0"
"350","008871332","Obaix-Buzet",4.36357,50.535206,21.864161849711,"Hainaut",10,"10","k = 11",97,"2","0","1"
"351","008881406","Obourg",4.007804,50.469873,21.242774566474,"Hainaut",1,"10","k = 11",97,"2","0","1"
"352","008895778","Okegem",4.054557,50.857712,26.864161849711,"Oost-Vlaanderen",17,"1","k = 11",152,"4","0","0"
"353","008832458","Olen",4.847585,51.188057,45.528901734104,"Antwerpen",28,"3","k = 11",300,"4","0","0"
"354","008891702","Oostende",2.925809,51.228212,59.895953757225,"West-Vlaanderen",84,"11","k = 11",183,"1","0","0"
"355","008891116","Oostkamp",3.257466,51.154114,25.867052023121,"West-Vlaanderen",28,"11","k = 11",183,"4","0","0"
"356","008812146","Opwijk",4.187319,50.974779,38.791907514451,"Vlaams Brabant",36,"8","k = 11",334,"3","0","0"
"357","008811601","Ottignies",4.56936,50.673667,253.4710982659,"Brabant Wallon",114,"4","k = 11",114,"1","0","0"
"358","008833134","Oud-Heverlee",4.653311,50.835931,49.895953757225,"Vlaams Brabant",11,"3","k = 11",300,"2","0","1"
